,pref_id,pref_id_encode
0,12.0,0.18705035971223022
1,36.0,0.13181019332161686
2,13.0,0.22242663968356177
3,2.0,0.1163003663003663
4,34.0,0.16594827586206898
5,32.0,0.0761904761904762
6,35.0,0.1336206896551724
7,1.0,0.1445
8,14.0,0.1872315501757126
9,45.0,0.17219477769936486
10,39.0,0.13403880070546736
11,43.0,0.13632119514472454
14,33.0,0.1307471264367816
15,17.0,0.1361079865016873
16,22.0,0.14359177215189872
17,25.0,0.1406060606060606
18,27.0,0.19749496756877655
20,7.0,0.1420274551214361
21,47.0,0.17664233576642335
23,9.0,0.15466983938132065
25,23.0,0.1769733534439417
26,44.0,0.13145539906103287
31,37.0,0.12661498708010335
32,5.0,0.12978986402966625
35,21.0,0.14749034749034748
38,42.0,0.13631522896698617
39,10.0,0.1565105837075048
40,4.0,0.18506493506493507
46,11.0,0.18625986771922337
47,15.0,0.12331288343558282
52,20.0,0.1334881021474173
54,8.0,0.168836291913215
56,40.0,0.14693737095664144
63,46.0,0.1375186846038864
66,38.0,0.12226277372262774
74,26.0,0.16753926701570682
75,6.0,0.1159062885326757
77,24.0,0.14677419354838708
80,31.0,0.13721804511278196
87,18.0,0.100418410041841
91,30.0,0.13008130081300814
107,28.0,0.16475972540045766
171,3.0,0.11752988047808766
199,19.0,0.17333333333333334
300,29.0,0.14563106796116504
325,41.0,0.13345521023765997
382,16.0,0.14148351648351648
39324,0.0,0.29411764705882354
