,mail_domain_type,mail_domain_type_encode
0,gmail,0.19212895730467616
1,docomo,0.12974573319400906
2,other,0.1858934017524326
5,ezweb,0.14097875982260952
8,softbank,0.15437392795883362
14,icloud,0.15754189944134078
63,yahoo,0.1658291457286432
