,age,age_encode
0,30,0.18087157732356343
1,20,0.1685759166315467
3,50,0.1720366538575229
4,25,0.19179499665226124
6,40,0.1435523114355231
9,35,0.1608350828084908
16,65,0.20353982300884957
26,45,0.16816910164749768
32,55,0.18768996960486323
40,15,0.09930815797059671
180,60,0.20776255707762556
3879,70,0.29411764705882354
84774,75,0.0
