member_id,page_type,hit,trajectory,stay
2967730,else,1,542,15
2967566,register,1,0,4
2966069,detail,15,71397,346
2966778,edit_scout,2,2668,123
2966751,search_other,1,1126,56
2965778,register,1,0,14
2965272,search_user,4,13775,315
2965221,else,2,4965,35
2965100,mypage_index,3,1632,22
2973844,search_multi,4,47719,58337
2996736,search_multi,1,334,140
2993740,search_other,1,0,260
2991842,else,3,4220,46
2985830,detail,6,15432,317
2984932,mypage_index,7,2321,423
2984084,search_other,4,938,5423
2983443,detail,1,5582,10
2988422,edit_hope,1,1860,9
2982651,search_other,3,25000,261
2981260,search_user,6,35735,178
2980592,search_user,13,82570,369
2980420,register,1,0,234
2979187,mypage_index,5,2028,251
2979052,else,6,6214,211
2977974,search_multi,2,2476,57
2977779,edit_resume,14,45579,223
2977581,detail,20,53505,1031
2976677,search_other,3,9711,169
2975635,search_user,2,19267,27
2975064,register,3,706,131
2973219,else,12,53859,276
2974099,mypage_index,5,2385,233
2973600,else,1,6313,42
2973375,else,5,405,302
2972752,search_other,1,71,362
2973250,search_user,4,20790,306
2972840,detail,6,36439,119
2972709,else,8,15218,581
2970748,mypage_index,2,1383,45
2971512,detail,2,1091,18749
2970043,else,3,5105,28
2968530,detail,9,31187,755
2968901,register,1,585,10
2968241,search_user,2,7617,48
2967612,mypage_scout,11,16962,509
2971323,search_user,6,17397,226
2966940,detail,7,24655,572
2966610,detail,6,8668,3679
2966381,else,25,26674,851
2972352,else,1,13285,4
2965088,detail,14,44187,1110
2976405,else,1,1552,2616
2999106,detail,9,47327,7511
2999565,search_multi,2,389,6380
2999368,mypage_index,9,7090,399
2995525,mypage_scout,1,1591,35
2995961,else,5,3822,114
2995410,search_user,3,5014,141
2993665,else,3,9684,1243
2988316,entry,1,1036,13
2988620,mypage_scout,2,1815,28
2988230,else,4,680,53
2986394,mypage_scout,19,10616,986
2985870,search_user,8,61148,761
2985464,detail,18,38663,4384
2985084,search_user,12,69286,622
2984927,detail,1,2787,16
2981090,search_user,11,74351,586
2979327,edit_hope,3,3577,189
2980048,detail,3,10992,179
2979813,login,1,604,9
2979406,login,1,44,75
2978423,entry,3,2001,169
2978310,detail,7,34008,591
2978023,search_user,5,24195,158
2977949,search_user,6,11433,132
2977328,search_user,7,26124,395
2975124,detail,8,38469,1361
2975415,detail,16,60175,594
2975625,search_multi,4,7475,251
2975228,detail,3,1329,20
2975169,detail,8,72546,265
2974784,search_other,3,12997,135
2974525,search_user,10,69570,571
2974140,mypage_index,2,964,191
2973935,search_user,7,58835,353
2974734,search_multi,3,1874,59
2973544,mypage_index,2,362,47
2972561,register,1,241,39
2969466,detail,3,28871,54
2969243,detail,3,15137,462
2969240,register,3,715,71
2968184,search_user,1,9502,0
2967829,search_other,1,5600,15
2966854,mypage_consider,3,1379,136
2966646,login,1,44,450
2966462,search_user,2,8140,83
2966146,register,2,774,594
2965856,else,19,33193,1162
2965328,search_user,3,10970,1485
2970961,detail,2,3504,38
2998918,mypage_index,3,2854,241
2994822,detail,4,7134,1281
2991392,detail,15,47409,677
2990563,mypage_index,1,210,104
2985552,mypage_index,12,12991,251
2984477,else,6,7800,318
2982143,register,1,167,41
2981647,detail,1,1706,13
2979025,search_multi,2,173,157
2977788,detail,16,72472,690
2978646,search_other,3,5694,190
2978122,search_multi,4,36292,77
2978020,register,1,573,15
2977194,detail,15,74566,270
2976525,detail,7,41402,659
2976208,detail,6,11043,155
2974232,else,4,11425,114
2975450,register,2,377,41
2973619,detail,10,60150,391
2972514,search_user,4,9152,92
2972679,search_multi,2,10333,158
2972121,register,1,1003,17
2971758,search_multi,2,19096,4756
2970087,search_user,7,39536,261
2969289,detail,2,2095,60
2969041,search_user,8,50445,360
2968433,search_user,1,7370,86
2967905,register,2,790,129
2967163,search_user,3,18889,39
2966860,entry,1,1833,12
2966579,login,2,208,12
2966095,search_user,4,7409,169
2965493,else,3,227,69
2965422,search_other,2,17505,58
2965313,search_user,5,35681,693
2979811,search_hello,2,9890,29317
2997607,search_other,2,9694,135
2992072,register,2,775,79
2991135,edit_resume,1,1017,24
2990158,else,1,530,1258
2987697,register,1,0,33
2984948,detail,4,7506,155
2982973,mypage_scout,3,2413,47
2982550,detail,1,8404,16
2980527,detail,19,103400,1324
2979772,register,2,493,37
2979321,detail,3,7288,131
2977517,search_other,4,20100,598
2984405,search_user,4,17380,273
2974680,mypage_index,5,490,251
2975307,else,2,110,156
2981771,detail,2,11062,15
2974400,register,1,0,32
2974323,search_user,4,16897,121
2972143,search_user,3,18566,61
2969993,detail,10,44637,359
2969776,search_user,5,8426,374
2969246,else,2,2049,119
2968181,search_user,1,3195,6
2967977,search_multi,5,43318,471
2967280,search_other,3,15567,1505
2966607,search_other,1,0,308
2965846,detail,4,21407,142
2965514,search_other,1,11071,51
2965524,register,1,245,53
2965372,search_other,3,12544,21640
2965502,search_user,8,25974,627
2966819,search_hello,3,2890,95350
3000020,edit_resume,3,6161,151
2999537,detail,4,15605,800
2999383,search_other,1,838,935
2999365,register,1,384,144
2997781,entry,2,2095,350
2996581,search_other,4,10984,17624
2998496,register,5,1328,266
2993856,register,1,0,139
2991681,else,7,5276,445
2983977,login,1,142,96
2983374,search_other,2,5932,197
2981754,else,6,14021,2346
2980828,detail,9,37405,542
2978844,search_user,8,28250,263
2978374,mypage_consider,4,1780,232
2977703,register,1,633,4
2975956,search_multi,3,1385,43
2975923,detail,3,15347,207
2975606,search_other,4,20442,76
2973955,mypage_index,1,0,15
2975139,search_user,3,21602,294
2974748,search_user,3,10533,86
2974199,search_user,1,1810,19
2974165,search_multi,1,2461,35
2972460,mypage_scout,11,15607,1351
2972173,entry,2,1246,80
2971361,mypage_index,1,397,11
2970648,register,1,914,23
2970118,detail,4,5091,197
2968425,detail,2,10455,26
2967303,detail,11,42832,2167
2967440,else,1,236,11
2967324,mypage_scout,1,1435,8
2967125,search_user,3,14097,48
2974812,mypage_index,15,11291,40648
2991543,mypage_index,5,2260,145
2989374,search_other,2,4270,38
2983915,search_other,2,15397,134
2983374,mypage_index,3,3320,245
2981768,detail,6,17714,173
2982407,else,1,1548,27
2982299,search_user,2,1942,54
2981088,search_other,1,701,606
2980620,detail,1,5544,16
2978877,search_multi,2,18803,1777
2977232,search_other,3,14503,118
2977102,search_other,2,10012,32
2976864,search_city,1,1011,10
2976141,register,2,780,213
2975788,login,7,774,169
2975770,register,2,1061,63
2971085,mypage_consider,1,1000,396
2969367,register,1,795,51
2966623,edit_resume,1,2624,28
2966305,search_multi,2,5356,42
3001232,register,1,573,128
3000124,register,3,667,243
2993430,else,1,2200,22
2992012,login,3,243,1425
2987807,mypage_scout,3,4754,54
2985932,register,1,664,3226
2983584,detail,1,1331,41
2981899,detail,4,8372,1970
2981897,mypage_scout,1,620,467
2982202,register,1,443,97
2979762,login,2,572,284
2979271,register,1,721,33
2977173,detail,1,7800,93
2977147,search_other,4,35117,90
2975376,search_other,3,8737,149
2973249,search_user,2,7464,31
2973126,search_other,1,9259,3327
2969615,detail,6,35068,308
2969116,detail,3,26316,1983
2968426,mypage_scout,2,312,6
2967721,else,1,147,14
2966279,else,1,2783,1083
2966222,mypage_index,3,2506,49
2966390,detail,4,36673,76
2965916,detail,3,6447,70
2965652,detail,3,14638,133
2970145,else,1,298,1830
2982158,else,2,3322,81799
2976237,else,2,10209,5911
2980653,mypage_index,7,3474,2179
3000860,search_other,1,24,317
2995616,search_user,3,16938,134
2994298,mypage_index,2,2790,59
2993245,else,4,7658,80
2987239,else,3,3109,252
2982228,search_user,5,63700,223
2978196,register,1,160,44
2977772,mypage_consider,3,3005,46
2975629,register,1,561,3
2975525,register,2,531,27
2973911,mypage_scout,1,1005,58
2975237,search_pref,1,0,9
2975125,search_pref,2,14070,42
2973977,register,1,573,20
2970068,detail,2,12498,602
2969609,login,1,104,71
2969604,search_other,1,948,492
2969271,search_user,2,403,65
2968097,mypage_index,4,3334,116
2967861,mypage_index,1,855,14
2966899,search_user,4,23050,56
2966337,detail,5,7910,153
2967950,search_other,1,0,9661
2996998,search_other,1,1116,47668
2976850,else,3,1689,44
2995360,mypage_index,3,2753,902
2988626,mypage_index,5,5446,141
2985593,edit_resume,1,2618,742
2983704,search_other,1,9784,1394
2978059,else,2,33,14
2976652,register,2,399,121
